N,P,K,pH,EC,soil_temp_C,soil_moisture,crop,growth_stage,recommended_fertilizer
58,20,40,7.39,1.18,38,42,rice,vegetative,NPK 19-19-19
43,26,33,6.05,0.83,31,29,maize,maturity,NPK 12-32-16
65,34,24,5.84,0.97,22,53,groundnut,maturity,NPK 12-32-16
38,32,20,6.47,1.18,36,31,wheat,flowering,NPK 14-35-14
23,16,35,6.9,1.41,22,51,sugarcane,vegetative,Single Super Phosphate
45,21,26,5.95,1.33,38,45,sugarcane,flowering,DAP
57,30,47,5.51,0.95,37,26,groundnut,maturity,NPK 12-32-16
61,16,24,6.19,0.89,37,51,rice,flowering,NPK 10-26-26
51,21,38,7.44,0.74,19,52,rice,maturity,MOP
58,24,48,6.89,0.87,24,37,wheat,maturity,MOP
64,11,18,6.3,0.61,18,54,soybean,flowering,NPK 14-35-14
65,23,19,5.89,1.47,38,39,maize,maturity,MOP
55,22,48,6.21,1.07,35,50,groundnut,maturity,NPK 12-32-16
59,13,25,5.84,0.63,27,24,wheat,vegetative,Urea
56,23,23,5.71,0.85,23,51,groundnut,flowering,NPK 10-26-26
52,23,47,7.31,1.05,24,38,wheat,flowering,NPK 14-35-14
55,25,28,7.5,1.03,29,20,rice,flowering,DAP
22,16,40,5.83,0.54,35,26,rice,maturity,NPK 12-32-16
28,28,38,5.61,1.45,28,41,soybean,maturity,MOP
27,11,12,6.16,0.78,39,53,groundnut,maturity,MOP
52,19,45,6.42,0.52,36,29,groundnut,flowering,NPK 14-35-14
25,27,15,5.91,0.58,21,45,soybean,vegetative,Urea
60,26,35,6.1,1.08,36,51,rice,flowering,DAP
58,14,32,5.9,0.64,30,46,sugarcane,flowering,NPK 14-35-14
23,21,44,7.05,0.54,36,31,soybean,flowering,NPK 10-26-26
32,15,18,6.93,0.88,19,59,wheat,vegetative,Urea
68,31,12,6.77,1.12,26,42,rice,flowering,NPK 14-35-14
21,18,14,6.27,0.61,25,33,groundnut,vegetative,Urea
24,29,26,7.32,0.81,38,53,groundnut,vegetative,Urea
63,10,42,7.44,0.92,31,36,maize,flowering,NPK 10-26-26
46,31,27,5.85,0.66,26,25,maize,flowering,NPK 14-35-14
51,24,21,5.95,1.01,30,46,sugarcane,flowering,NPK 10-26-26
40,30,40,6.55,0.59,35,27,groundnut,maturity,NPK 12-32-16
27,15,17,5.68,0.55,23,52,rice,vegetative,Single Super Phosphate
57,28,40,6.37,1.02,39,54,groundnut,flowering,NPK 10-26-26
27,27,28,6.66,0.75,20,36,groundnut,vegetative,Urea
69,15,33,6.54,0.6,27,45,wheat,maturity,MOP
22,22,35,6.16,0.92,27,26,sugarcane,maturity,MOP
63,10,28,6.58,1.42,27,43,wheat,flowering,DAP
22,32,32,7.42,1.22,26,44,maize,vegetative,Urea
41,32,22,5.91,1.32,29,54,wheat,maturity,MOP
25,22,18,6.81,1.37,25,45,maize,maturity,NPK 12-32-16
21,16,16,5.59,1.47,26,24,soybean,vegetative,NPK 19-19-19
42,24,32,5.63,1.26,34,57,maize,maturity,NPK 12-32-16
63,21,29,6.6,1.11,25,54,groundnut,vegetative,NPK 19-19-19
21,10,46,5.71,0.87,35,49,maize,flowering,NPK 10-26-26
57,24,31,5.54,0.68,37,44,groundnut,vegetative,NPK 19-19-19
36,13,26,5.84,1.19,34,43,sugarcane,flowering,NPK 14-35-14
54,22,16,6.63,1.49,23,49,groundnut,vegetative,Single Super Phosphate
53,32,24,6.91,0.97,27,39,groundnut,maturity,NPK 12-32-16
42,34,23,5.9,1.22,18,22,groundnut,flowering,NPK 14-35-14
49,14,32,6.84,1.0,38,51,sugarcane,vegetative,Single Super Phosphate
27,11,48,5.86,0.93,18,27,rice,flowering,NPK 14-35-14
41,32,17,6.73,0.91,26,42,rice,vegetative,Single Super Phosphate
63,10,18,6.32,1.0,37,35,maize,vegetative,NPK 19-19-19
55,25,37,6.81,0.87,20,54,soybean,flowering,NPK 14-35-14
24,32,19,7.49,1.25,23,44,rice,flowering,DAP
32,15,20,7.38,1.37,24,34,maize,flowering,NPK 14-35-14
48,32,38,5.51,1.38,26,27,sugarcane,maturity,NPK 12-32-16
50,25,15,7.27,0.73,22,53,rice,vegetative,Urea
66,23,32,5.63,1.4,33,44,rice,vegetative,Urea
35,12,42,7.41,0.84,19,38,groundnut,flowering,NPK 14-35-14
61,24,32,6.06,0.81,20,32,groundnut,vegetative,NPK 19-19-19
49,12,36,6.26,1.23,20,31,maize,vegetative,NPK 19-19-19
35,32,26,5.68,0.8,37,34,groundnut,vegetative,Urea
31,11,46,5.72,0.55,27,42,maize,flowering,NPK 10-26-26
36,10,48,6.95,0.87,39,59,wheat,vegetative,Urea
35,18,39,7.39,1.22,20,21,wheat,vegetative,NPK 19-19-19
31,18,25,6.72,0.83,32,59,soybean,maturity,NPK 12-32-16
27,32,15,6.93,1.13,31,42,rice,maturity,NPK 12-32-16
39,16,31,7.02,1.16,21,24,wheat,flowering,NPK 10-26-26
22,12,45,6.03,1.23,27,53,maize,vegetative,NPK 19-19-19
35,27,23,5.59,1.4,28,29,groundnut,vegetative,NPK 19-19-19
49,20,44,5.5,0.93,28,46,groundnut,maturity,MOP
64,16,35,6.2,0.67,25,23,rice,flowering,NPK 14-35-14
42,18,31,5.98,0.82,26,23,wheat,flowering,NPK 14-35-14
47,10,16,5.62,0.93,25,27,soybean,vegetative,Urea
59,23,49,5.86,1.21,29,25,soybean,maturity,MOP
24,29,41,5.75,0.51,34,44,soybean,maturity,MOP
39,15,35,7.33,0.82,32,46,soybean,maturity,MOP
59,16,18,5.78,1.28,36,59,groundnut,vegetative,NPK 19-19-19
63,19,47,6.58,1.17,37,39,groundnut,vegetative,NPK 19-19-19
20,16,49,6.69,1.23,23,46,groundnut,vegetative,NPK 19-19-19
49,11,27,6.59,1.31,22,26,maize,maturity,NPK 12-32-16
40,13,26,5.7,1.28,25,42,soybean,flowering,NPK 10-26-26
39,30,34,6.14,1.18,35,39,sugarcane,vegetative,Single Super Phosphate
25,26,23,5.6,0.94,38,53,groundnut,vegetative,Single Super Phosphate
41,10,40,6.29,1.48,38,48,soybean,flowering,NPK 10-26-26
37,19,26,5.88,1.07,32,24,wheat,flowering,NPK 10-26-26
27,28,40,6.62,0.7,20,46,rice,maturity,MOP
58,24,32,6.89,0.79,31,31,groundnut,vegetative,Single Super Phosphate
51,19,26,6.56,1.19,32,36,groundnut,maturity,NPK 12-32-16
52,28,25,6.37,1.42,30,56,wheat,vegetative,Urea
35,21,27,6.27,0.68,38,53,rice,maturity,NPK 12-32-16
31,33,26,7.18,0.58,37,49,maize,maturity,NPK 12-32-16
57,25,15,5.94,1.38,38,55,groundnut,flowering,NPK 14-35-14
53,18,38,6.97,1.42,26,25,rice,vegetative,Urea
33,24,34,7.01,0.78,34,51,sugarcane,flowering,NPK 10-26-26
55,26,40,6.34,0.88,36,51,groundnut,flowering,NPK 14-35-14
52,23,20,6.09,1.16,21,28,soybean,flowering,NPK 14-35-14
42,27,18,6.44,0.83,37,41,wheat,vegetative,Single Super Phosphate
69,11,15,5.69,1.38,27,29,rice,maturity,NPK 12-32-16
64,13,16,5.59,0.61,39,48,wheat,maturity,NPK 12-32-16
21,27,16,5.72,0.54,20,30,soybean,vegetative,NPK 19-19-19
60,16,22,5.87,0.71,36,47,maize,vegetative,Urea
40,22,39,6.51,0.79,26,21,soybean,maturity,MOP
21,24,27,7.2,0.61,22,40,maize,maturity,NPK 12-32-16
46,34,41,5.97,0.57,31,50,wheat,flowering,NPK 14-35-14
28,32,15,7.37,1.26,24,36,maize,maturity,MOP
20,31,13,7.41,0.66,38,46,groundnut,flowering,NPK 10-26-26
30,10,14,7.42,1.41,23,49,maize,maturity,MOP
22,20,32,7.18,0.87,25,27,maize,maturity,NPK 12-32-16
42,19,17,6.23,1.17,19,56,groundnut,maturity,NPK 12-32-16
45,34,29,5.65,0.73,31,24,maize,flowering,DAP
23,14,16,6.64,0.74,39,45,groundnut,flowering,NPK 14-35-14
37,25,20,6.62,1.07,24,25,groundnut,maturity,NPK 12-32-16
25,20,31,7.2,1.06,20,35,maize,flowering,NPK 10-26-26
54,30,39,7.49,1.27,37,20,groundnut,flowering,DAP
41,15,37,6.52,1.26,39,28,rice,flowering,DAP
62,18,29,6.19,1.17,23,40,maize,flowering,NPK 14-35-14
34,22,30,5.87,0.95,38,26,maize,vegetative,NPK 19-19-19
41,33,14,5.51,1.39,31,34,soybean,flowering,NPK 10-26-26
56,17,20,6.52,1.12,29,43,soybean,maturity,MOP
61,23,47,6.61,1.49,35,24,soybean,flowering,DAP
31,33,42,7.15,1.32,29,57,maize,maturity,MOP
66,10,28,6.51,0.54,24,48,soybean,flowering,NPK 10-26-26
68,26,34,7.33,0.82,22,30,rice,maturity,MOP
61,33,45,6.76,1.07,29,23,wheat,vegetative,Single Super Phosphate
57,14,16,7.18,1.22,26,29,soybean,maturity,MOP
37,34,26,5.8,1.05,28,53,groundnut,flowering,NPK 10-26-26
64,11,14,7.21,1.29,21,23,soybean,flowering,DAP
54,34,30,6.85,0.78,31,29,rice,maturity,MOP
49,33,39,5.84,0.68,29,52,groundnut,vegetative,Single Super Phosphate
43,18,14,5.88,0.55,35,37,groundnut,flowering,NPK 10-26-26
61,13,49,7.35,1.07,24,31,groundnut,flowering,NPK 10-26-26
49,26,15,5.56,1.19,18,42,groundnut,maturity,NPK 12-32-16
33,26,35,6.43,0.83,30,44,sugarcane,maturity,NPK 12-32-16
25,30,42,6.13,1.11,33,56,sugarcane,vegetative,NPK 19-19-19
22,27,22,6.83,0.55,22,23,groundnut,maturity,MOP
35,25,48,7.18,0.6,36,32,groundnut,flowering,DAP
26,17,12,6.22,1.2,26,37,groundnut,maturity,NPK 12-32-16
33,20,20,6.35,0.87,26,48,rice,vegetative,Urea
28,30,28,7.46,1.17,29,49,soybean,vegetative,Urea
34,30,12,7.07,1.33,35,57,wheat,flowering,NPK 14-35-14
40,27,14,7.29,1.35,27,47,groundnut,maturity,MOP
54,32,37,6.38,0.67,34,26,soybean,flowering,DAP
21,33,42,5.97,0.99,36,43,rice,vegetative,NPK 19-19-19
46,19,37,6.32,1.23,28,29,rice,vegetative,Single Super Phosphate
21,22,34,6.93,1.27,33,56,groundnut,maturity,MOP
54,26,41,5.72,1.28,25,46,maize,maturity,MOP
37,27,21,6.04,0.73,32,40,rice,flowering,NPK 14-35-14
33,19,19,5.59,0.69,28,55,maize,vegetative,Single Super Phosphate
39,25,36,6.36,1.09,24,48,rice,flowering,NPK 14-35-14
37,29,33,7.15,1.24,19,26,maize,flowering,NPK 10-26-26
29,14,26,5.55,0.82,36,32,maize,flowering,NPK 10-26-26
44,22,21,6.85,0.6,26,42,groundnut,vegetative,Single Super Phosphate
21,27,31,7.36,1.22,35,44,groundnut,maturity,MOP
44,26,34,5.97,0.8,30,32,soybean,vegetative,Single Super Phosphate
52,18,12,6.89,0.67,18,56,maize,flowering,NPK 10-26-26
55,23,13,7.45,0.65,36,49,sugarcane,vegetative,NPK 19-19-19
50,26,30,7.42,0.81,30,45,rice,flowering,NPK 14-35-14
33,13,25,5.97,1.09,31,31,groundnut,flowering,NPK 14-35-14
20,27,19,5.7,0.86,34,20,wheat,maturity,MOP
65,29,49,5.8,0.52,39,37,rice,flowering,NPK 14-35-14
35,33,23,6.9,0.6,37,40,soybean,vegetative,NPK 19-19-19
65,33,37,6.95,0.79,18,43,soybean,maturity,MOP
22,24,38,6.85,1.16,22,36,maize,maturity,NPK 12-32-16
54,20,40,6.17,0.6,37,28,soybean,maturity,NPK 12-32-16
60,21,26,5.84,1.06,31,59,groundnut,maturity,MOP
25,18,12,6.66,0.62,35,47,soybean,maturity,NPK 12-32-16
44,22,39,6.47,0.71,30,34,rice,vegetative,NPK 19-19-19
32,24,14,6.96,0.67,29,32,sugarcane,flowering,DAP
53,24,29,6.38,0.57,32,47,sugarcane,flowering,DAP
27,14,45,6.18,1.17,21,36,maize,flowering,DAP
40,32,43,6.09,0.96,26,28,soybean,flowering,NPK 14-35-14
53,28,40,5.92,1.33,20,40,soybean,maturity,MOP
23,29,36,6.03,0.6,39,49,sugarcane,flowering,DAP
44,34,37,5.69,0.64,28,30,maize,flowering,NPK 14-35-14
34,23,19,6.19,0.81,32,49,soybean,maturity,MOP
23,26,30,5.57,1.27,33,55,maize,maturity,NPK 12-32-16
64,27,33,5.87,0.81,24,44,groundnut,maturity,NPK 12-32-16
31,30,40,6.99,0.91,24,26,rice,flowering,NPK 10-26-26
51,12,44,6.15,0.8,39,39,groundnut,maturity,MOP
51,11,49,6.84,0.58,26,54,soybean,maturity,MOP
47,10,46,6.93,1.44,34,29,soybean,vegetative,Single Super Phosphate
32,19,14,6.66,1.05,30,54,soybean,vegetative,NPK 19-19-19
50,28,30,7.42,1.29,26,20,sugarcane,flowering,DAP
33,26,21,5.54,1.16,26,33,sugarcane,maturity,NPK 12-32-16
39,21,38,6.98,1.01,37,24,soybean,flowering,NPK 10-26-26
37,10,26,7.42,0.59,29,59,soybean,vegetative,NPK 19-19-19
48,21,22,7.22,1.14,38,57,rice,vegetative,Single Super Phosphate
25,26,37,5.84,0.66,36,53,rice,maturity,NPK 12-32-16
51,33,35,6.15,0.91,32,43,maize,flowering,NPK 14-35-14
48,12,24,5.84,1.13,35,23,maize,vegetative,NPK 19-19-19
62,20,43,6.7,1.28,25,46,sugarcane,maturity,NPK 12-32-16
21,26,48,6.92,1.19,23,24,wheat,flowering,NPK 10-26-26
42,32,15,6.13,1.17,23,32,rice,maturity,NPK 12-32-16
38,12,24,6.58,0.65,20,59,maize,maturity,NPK 12-32-16
50,17,20,6.88,0.85,20,40,rice,vegetative,NPK 19-19-19
24,29,45,6.34,0.54,19,56,rice,flowering,NPK 14-35-14
38,13,48,7.21,1.22,22,51,groundnut,vegetative,Single Super Phosphate
53,30,18,7.04,1.45,37,57,wheat,flowering,NPK 10-26-26
29,31,12,5.63,0.76,29,50,rice,flowering,NPK 14-35-14
44,16,23,6.74,0.59,23,51,groundnut,maturity,MOP
21,23,32,5.97,0.98,33,34,wheat,maturity,NPK 12-32-16
30,23,22,6.62,1.36,22,49,groundnut,flowering,NPK 14-35-14
69,13,25,7.41,1.05,23,26,groundnut,maturity,NPK 12-32-16
50,25,45,7.26,0.55,21,57,wheat,vegetative,Single Super Phosphate
34,33,45,6.31,1.47,31,50,rice,flowering,DAP
28,31,36,6.08,1.33,20,45,rice,vegetative,Urea
42,10,15,5.97,0.63,34,55,maize,maturity,MOP
38,26,37,6.57,1.42,22,45,rice,flowering,DAP
28,34,27,5.73,0.95,39,21,rice,maturity,NPK 12-32-16
54,19,21,6.6,0.87,38,28,rice,vegetative,Urea
40,31,13,5.5,0.96,38,24,maize,flowering,NPK 14-35-14
28,25,46,6.15,1.33,23,46,wheat,maturity,MOP
47,25,30,5.94,1.16,37,31,maize,vegetative,Single Super Phosphate
65,17,17,7.44,0.56,21,54,rice,vegetative,NPK 19-19-19
26,16,30,6.95,1.46,30,48,soybean,maturity,NPK 12-32-16
35,15,19,6.2,0.65,25,35,rice,flowering,NPK 10-26-26
35,25,25,5.69,1.25,28,38,maize,maturity,MOP
52,29,21,6.53,1.14,36,46,groundnut,flowering,DAP
23,25,14,5.93,0.69,22,37,groundnut,vegetative,Single Super Phosphate
23,16,49,6.57,0.67,22,32,maize,vegetative,Urea
58,18,40,7.17,1.37,20,49,sugarcane,vegetative,Single Super Phosphate
59,23,26,6.73,0.92,19,45,groundnut,maturity,NPK 12-32-16
36,20,34,6.77,1.15,20,25,soybean,maturity,MOP
56,23,34,6.58,1.0,32,22,maize,maturity,MOP
58,16,29,7.35,1.23,24,42,groundnut,vegetative,Single Super Phosphate
48,10,30,7.36,0.98,20,31,groundnut,flowering,NPK 14-35-14
55,34,39,6.53,0.79,32,34,wheat,maturity,NPK 12-32-16
57,22,37,6.11,0.86,28,20,rice,maturity,MOP
58,29,21,6.42,1.36,33,27,groundnut,maturity,MOP
69,12,15,5.87,0.97,30,50,groundnut,vegetative,Single Super Phosphate
56,29,13,6.77,0.71,19,30,wheat,flowering,NPK 14-35-14
54,13,14,6.5,1.43,37,36,maize,flowering,DAP
26,20,18,5.71,1.3,29,46,maize,flowering,NPK 10-26-26
46,11,27,5.9,0.56,38,50,wheat,maturity,NPK 12-32-16
47,23,42,6.46,1.5,24,46,wheat,maturity,MOP
41,21,21,7.28,1.19,18,33,sugarcane,flowering,NPK 10-26-26
33,26,30,6.63,0.66,31,42,rice,vegetative,Single Super Phosphate
26,21,39,6.86,0.74,27,24,wheat,flowering,DAP
56,21,28,6.18,1.19,20,49,rice,maturity,MOP
41,10,39,6.64,1.28,28,53,groundnut,flowering,NPK 14-35-14
24,22,30,6.39,0.74,39,38,soybean,flowering,DAP
21,23,48,6.82,0.76,37,50,maize,flowering,NPK 14-35-14
46,33,34,5.6,0.81,38,35,wheat,vegetative,Urea
40,11,31,6.49,1.1,32,46,soybean,maturity,MOP
57,21,24,6.09,0.67,23,45,maize,maturity,NPK 12-32-16
34,30,24,6.15,0.6,35,58,sugarcane,flowering,NPK 10-26-26
40,25,22,7.42,1.18,30,48,maize,maturity,MOP
29,13,26,5.87,1.28,32,58,wheat,vegetative,Single Super Phosphate
42,17,28,6.12,1.0,20,48,soybean,flowering,DAP
58,11,39,6.52,0.86,32,50,soybean,vegetative,NPK 19-19-19
24,19,30,7.23,0.93,18,21,soybean,flowering,NPK 14-35-14
20,18,15,6.33,0.89,27,25,maize,flowering,NPK 14-35-14
32,32,33,6.99,1.46,35,28,rice,flowering,NPK 10-26-26
40,24,33,7.21,1.27,25,34,rice,vegetative,NPK 19-19-19
45,22,48,6.12,0.71,29,39,maize,maturity,NPK 12-32-16
69,32,45,6.29,0.88,22,21,wheat,maturity,NPK 12-32-16
64,26,44,6.21,1.04,18,22,maize,maturity,NPK 12-32-16
40,25,44,7.17,1.11,25,49,rice,maturity,NPK 12-32-16
37,11,23,5.59,0.97,22,27,maize,vegetative,NPK 19-19-19
56,29,13,6.12,1.31,34,59,soybean,maturity,MOP
64,29,39,6.86,1.27,32,40,wheat,maturity,NPK 12-32-16
51,23,21,6.63,1.01,21,58,wheat,flowering,NPK 10-26-26
55,12,33,6.37,1.35,30,32,sugarcane,vegetative,NPK 19-19-19
36,32,28,6.58,1.25,34,59,maize,flowering,NPK 14-35-14
54,21,37,5.9,1.28,30,56,groundnut,maturity,MOP
68,17,14,6.36,1.46,19,51,groundnut,flowering,NPK 14-35-14
30,11,18,6.5,0.77,21,33,groundnut,maturity,NPK 12-32-16
40,13,19,7.3,0.77,19,20,soybean,flowering,DAP
45,23,31,6.02,1.39,29,46,groundnut,vegetative,NPK 19-19-19
23,25,23,7.24,1.27,36,43,maize,flowering,DAP
53,28,46,6.79,1.43,35,41,sugarcane,flowering,NPK 14-35-14
67,11,28,5.54,0.56,27,33,sugarcane,flowering,DAP
37,21,39,6.95,1.13,22,27,maize,flowering,DAP
59,23,21,5.57,0.64,28,46,groundnut,maturity,MOP
54,15,33,7.49,1.0,18,22,maize,flowering,NPK 10-26-26
60,22,49,7.25,0.66,20,52,maize,vegetative,Single Super Phosphate
48,13,44,6.09,0.63,34,40,rice,flowering,DAP
48,31,33,6.01,0.51,32,51,sugarcane,vegetative,NPK 19-19-19
57,27,48,6.26,1.13,31,59,wheat,flowering,NPK 14-35-14
61,21,24,6.21,0.86,32,51,groundnut,maturity,MOP
40,29,38,6.24,0.61,33,43,groundnut,vegetative,Single Super Phosphate
61,31,26,6.14,0.82,21,30,rice,vegetative,Single Super Phosphate
32,30,33,6.74,0.67,36,56,soybean,flowering,NPK 10-26-26
68,28,41,5.83,1.44,25,40,wheat,maturity,MOP
60,17,48,7.19,0.82,23,37,wheat,maturity,NPK 12-32-16
36,16,45,7.12,0.83,33,30,wheat,vegetative,Urea
28,25,45,6.45,1.34,20,46,sugarcane,flowering,NPK 14-35-14
60,28,46,7.21,1.15,25,57,soybean,maturity,NPK 12-32-16
20,15,30,5.99,1.21,22,20,rice,maturity,MOP
21,29,19,5.54,1.14,22,48,soybean,maturity,NPK 12-32-16
67,30,44,6.74,1.45,29,40,groundnut,flowering,DAP
48,20,39,6.42,0.71,18,48,rice,flowering,DAP
52,14,48,6.63,1.49,24,28,sugarcane,vegetative,NPK 19-19-19
29,25,36,7.3,1.33,28,26,groundnut,flowering,NPK 10-26-26
69,16,47,7.44,1.09,27,57,soybean,maturity,MOP
59,14,28,6.77,1.16,20,50,wheat,vegetative,Urea
40,20,35,7.03,1.15,25,46,soybean,flowering,NPK 14-35-14
47,24,32,5.67,0.56,18,51,groundnut,maturity,NPK 12-32-16
30,12,13,5.82,0.72,25,24,sugarcane,maturity,MOP
53,14,42,6.97,1.46,37,52,sugarcane,vegetative,Urea
27,32,44,6.36,1.03,28,34,sugarcane,vegetative,NPK 19-19-19
41,30,41,6.39,0.88,24,24,rice,flowering,NPK 10-26-26
27,14,23,6.12,1.26,33,39,soybean,flowering,DAP
68,18,23,6.71,1.02,24,57,wheat,vegetative,NPK 19-19-19
34,24,35,5.87,0.51,30,56,wheat,vegetative,Urea
36,12,35,6.75,1.24,27,36,maize,maturity,NPK 12-32-16
42,15,22,5.85,1.23,34,23,sugarcane,flowering,DAP
43,26,24,5.63,0.67,20,40,groundnut,maturity,MOP
64,30,38,6.16,1.46,24,53,wheat,vegetative,Single Super Phosphate
38,17,19,5.96,0.72,28,59,sugarcane,vegetative,NPK 19-19-19
24,30,21,7.28,0.96,30,24,wheat,vegetative,NPK 19-19-19
51,34,19,5.61,0.61,22,23,soybean,flowering,DAP
63,20,31,5.85,1.1,36,41,maize,vegetative,Single Super Phosphate
20,15,19,6.6,0.88,32,33,sugarcane,vegetative,NPK 19-19-19
42,17,20,6.46,0.85,18,23,rice,flowering,DAP
56,19,18,5.59,1.33,22,27,rice,vegetative,Single Super Phosphate
27,33,25,5.51,0.51,30,22,wheat,flowering,DAP
32,12,39,7.48,1.3,27,48,soybean,vegetative,Single Super Phosphate
27,32,13,6.82,1.07,22,45,groundnut,flowering,DAP
42,23,19,6.23,1.49,18,49,sugarcane,flowering,NPK 14-35-14
62,32,24,6.44,1.09,27,31,maize,flowering,DAP
20,23,32,6.03,0.56,35,34,soybean,flowering,DAP
64,19,39,6.19,0.55,39,21,wheat,maturity,NPK 12-32-16
43,21,46,6.8,1.38,25,20,soybean,flowering,NPK 10-26-26
54,15,34,7.27,1.34,37,47,maize,flowering,NPK 14-35-14
43,21,26,5.87,0.85,20,59,soybean,flowering,NPK 14-35-14
36,32,13,7.18,1.12,36,54,sugarcane,flowering,NPK 10-26-26
24,23,23,5.74,0.99,36,53,wheat,vegetative,NPK 19-19-19
39,11,47,5.93,1.47,19,23,maize,vegetative,Urea
40,18,14,5.57,1.45,34,37,wheat,flowering,NPK 14-35-14
59,19,16,5.78,1.48,33,31,groundnut,flowering,DAP
50,26,14,7.33,1.37,38,40,sugarcane,maturity,MOP
65,26,30,6.42,1.41,27,29,maize,flowering,DAP
55,12,13,5.66,0.72,38,40,groundnut,flowering,NPK 10-26-26
30,28,48,7.42,1.33,33,59,groundnut,flowering,NPK 14-35-14
34,10,28,7.26,1.21,22,44,groundnut,vegetative,NPK 19-19-19
38,21,25,7.01,1.46,37,36,maize,flowering,NPK 10-26-26
26,16,39,7.37,1.07,20,25,wheat,flowering,NPK 14-35-14
47,13,38,5.94,0.59,20,33,soybean,maturity,MOP
62,19,21,7.17,1.1,19,56,soybean,vegetative,NPK 19-19-19
24,22,14,6.88,1.19,38,59,groundnut,maturity,NPK 12-32-16
24,11,47,7.24,0.72,21,59,rice,flowering,NPK 10-26-26
49,19,49,7.09,0.89,39,37,rice,maturity,NPK 12-32-16
51,30,36,6.19,1.1,35,49,maize,flowering,NPK 14-35-14
27,31,33,7.05,0.87,19,28,wheat,flowering,NPK 14-35-14
29,34,41,6.02,0.87,23,33,maize,vegetative,Urea
57,13,32,6.16,0.63,20,36,wheat,maturity,NPK 12-32-16
66,27,41,5.72,1.44,38,53,sugarcane,flowering,NPK 14-35-14
51,14,39,7.37,1.25,20,41,rice,maturity,NPK 12-32-16
67,28,42,6.08,0.5,19,51,maize,vegetative,NPK 19-19-19
47,11,37,6.54,1.27,20,31,sugarcane,flowering,NPK 14-35-14
36,21,33,6.28,1.24,34,35,soybean,vegetative,Single Super Phosphate
50,26,32,7.42,0.51,31,41,rice,maturity,NPK 12-32-16
27,19,12,6.17,0.87,24,57,wheat,maturity,MOP
59,11,48,7.06,1.11,39,58,groundnut,maturity,NPK 12-32-16
44,15,24,7.21,0.95,38,21,soybean,flowering,NPK 10-26-26
28,17,32,6.37,1.28,23,27,soybean,flowering,DAP
21,28,20,6.26,0.93,25,20,sugarcane,flowering,DAP
34,20,28,7.0,0.65,36,59,maize,vegetative,NPK 19-19-19
69,34,32,7.33,1.48,36,24,groundnut,maturity,NPK 12-32-16
22,21,42,7.01,0.74,29,55,maize,maturity,NPK 12-32-16
68,18,33,5.95,1.22,22,36,sugarcane,maturity,MOP
55,11,23,7.28,0.64,22,49,soybean,vegetative,NPK 19-19-19
23,17,17,6.28,0.83,31,34,rice,flowering,NPK 14-35-14
33,20,27,6.65,0.94,34,39,soybean,vegetative,Single Super Phosphate
60,30,37,7.16,0.69,33,55,sugarcane,maturity,NPK 12-32-16
60,13,16,5.88,0.95,21,21,soybean,maturity,MOP
44,19,20,7.07,0.66,25,23,groundnut,vegetative,Single Super Phosphate
69,30,25,6.69,1.06,20,43,soybean,flowering,DAP
29,29,41,7.29,1.16,38,21,soybean,flowering,NPK 10-26-26
40,25,37,5.84,0.56,22,21,soybean,maturity,MOP
55,17,40,6.34,1.37,24,20,rice,vegetative,Urea
31,13,30,7.17,0.69,35,32,wheat,flowering,NPK 14-35-14
46,19,19,5.54,0.73,25,25,wheat,vegetative,Urea
59,21,34,5.72,1.16,28,41,maize,maturity,MOP
21,23,46,7.48,0.97,31,36,wheat,maturity,MOP
32,25,42,6.06,1.0,35,41,wheat,maturity,NPK 12-32-16
51,31,46,7.45,0.63,30,25,wheat,maturity,NPK 12-32-16
50,27,43,5.87,1.31,23,22,soybean,flowering,NPK 14-35-14
35,30,16,6.22,1.12,30,25,soybean,maturity,MOP
51,31,27,7.01,0.64,18,36,groundnut,flowering,DAP
51,30,28,6.82,0.87,28,54,rice,flowering,DAP
53,21,43,6.66,1.31,24,56,soybean,vegetative,NPK 19-19-19
30,27,49,6.56,1.07,27,54,soybean,maturity,NPK 12-32-16
29,16,43,7.19,0.61,19,42,wheat,flowering,NPK 14-35-14
34,29,31,5.97,0.87,33,27,rice,vegetative,Single Super Phosphate
36,33,13,6.38,0.74,22,26,rice,vegetative,Urea
59,32,31,5.81,1.02,33,29,wheat,maturity,NPK 12-32-16
37,16,29,6.69,1.34,33,45,wheat,maturity,NPK 12-32-16
28,18,12,6.0,0.94,32,29,rice,vegetative,Urea
44,10,40,6.17,0.93,26,38,sugarcane,flowering,DAP
59,15,40,6.44,1.41,18,42,wheat,maturity,MOP
33,15,30,5.55,1.08,26,50,wheat,vegetative,Urea
44,31,17,5.68,1.07,28,52,rice,vegetative,Urea
69,21,19,6.87,0.76,22,21,sugarcane,flowering,NPK 10-26-26
41,31,35,6.36,1.11,23,47,groundnut,flowering,NPK 10-26-26
49,21,31,7.23,1.08,25,51,sugarcane,vegetative,Urea
39,19,25,6.89,0.9,32,52,maize,flowering,DAP
40,32,16,5.52,1.49,33,28,sugarcane,maturity,MOP
63,15,45,6.73,1.38,35,48,wheat,vegetative,NPK 19-19-19
51,26,27,5.69,1.25,29,34,soybean,flowering,NPK 10-26-26
65,28,18,7.06,1.04,21,37,rice,flowering,DAP
68,27,27,7.48,0.96,39,37,groundnut,flowering,NPK 10-26-26
40,15,18,6.56,0.68,33,26,wheat,flowering,NPK 10-26-26
